title,artist_name,artist_date,artwork_date,accession_num,art_medium,info_link,img_link
Jar with Tiger-Headed Spout:  Yue Ware,,,late 3rd-4th Century,1970.152 ,Glazed stoneware,https://www.clevelandart.org/art/1970.152,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E88A786F6C4A534E6C1E04D0BA2C531276FAD82D2B8F243807&s=24247294&se=1413450621&v=0&f=1970.152_o10.jpg
Scepter in the Shape of a Ruyi Fungus,,,1700s,1970.155 ,Carved boxwood,https://www.clevelandart.org/art/1970.155,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B05D3C31334A9215D92DE579D69608F5126F2C3A4345B560E&s=24247294&se=1413450621&v=0&f=1970.155_o10.jpg
The Five Hundred Arhats,Wu Bin,"(Chinese, active c. 1591–1626)",1591–1626,1971.16 ,Handscroll; ink and color on paper,https://www.clevelandart.org/art/1971.16,https://piction.clevelandart.org/cma/ump.di?e=FB761456F44CF708F6CEE4D49FBE6976B80D72487C3D73930777ECD837B8A1A9&s=24247294&se=1168553217&v=1&f=%5Cd4948%5Cu214649488%5C1971.16_o10.jpg
Palace Landscape,,,1000s,1971.40 ,"Album leaf, ink, color, and gold on silk",https://www.clevelandart.org/art/1971.40,https://piction.clevelandart.org/cma/ump.di?e=F5DB0801F450918F2D2DDFA6C33F6550426BA839A436C38195A127CF148CC45C&s=24247294&se=1573793027&v=2&f=1971.40_o10.jpg
Clouds Visiting a Mountain Retreat,Tao Hong,"(Chinese, active c. 1610–1640)",1633,1971.19 ,Hanging scroll; ink on silk,https://www.clevelandart.org/art/1971.19,https://piction.clevelandart.org/cma/ump.di?e=75E8FD99E0C0FA07CF866131F46E2C124069BC94EEAA49FBABF105F61C9794F4&s=24247294&se=1393644995&v=1&f=%5C1971.19_o10.jpg
Shakyamuni under the Bodhi Tree,,,1600–1650,1971.68 ,"Hanging scroll, ink and color on silk",https://www.clevelandart.org/art/1971.68,https://piction.clevelandart.org/cma/ump.di?e=8F7CD645BC5222F1CFDA6CB326A1ACA559D4F53EC378581253C4D65A89493B9C&s=24247294&se=935317823&v=1&f=%5Cd8702%5Cu213487026%5C1971.68_o10.jpg
The Football Players,Ma Yuan,"(Chinese, c. 1150-after 1255)",c. late 1100s–1st quarter 1200s,1971.26 ,Hanging scroll; ink and light color on silk,https://www.clevelandart.org/art/1971.26,https://piction.clevelandart.org/cma/ump.di?e=F5DB0801F450918F960541F4605DA0B16E08D36790EAD86F40FF4CDF17F8B2A4&s=24247294&se=1573793027&v=6&f=1971.26_o10.jpg
Foliate Dish,,,1200s-1300s,1971.39 ,Lacquer,https://www.clevelandart.org/art/1971.39,https://piction.clevelandart.org/cma/ump.di?e=EAD82D6C274EE1596881EBAF2189B8FDD76A6863694D06D7C4396A9649A5D16B&s=24247294&se=672506398&v=4&f=1971.39_o10.jpg
Portrait of An Qi,Wang Hui,"(Chinese, 1632–1717)",1715,1971.17 ,Hanging scroll; ink and color on paper,https://www.clevelandart.org/art/1971.17,https://piction.clevelandart.org/cma/ump.di?e=AB4B377CF7731EE1DB49CBB2CCFB5374C03C91398312DAAAE9859BE37DEC0160&s=24247294&se=1573793027&v=1&f=%5C1971.17_o10.jpg
Vase with Golden Pheasants,,,1736–95,1971.145 ,Porcelain painted in polychrome enamels over transparent glaze,https://www.clevelandart.org/art/1971.145,https://piction.clevelandart.org/cma/ump.di?e=1F448EBE0D6107CF27543774C312E92159A9AB9253F5FD243430FF4E76073CB0&s=24247294&se=429512564&v=5&f=1971.145_o10.jpg
Lily and Butterflies,Liu Shanshou,"(Chinese, active 1300s)",1300s,1971.132 ,"Hanging scroll, ink on silk",https://www.clevelandart.org/art/1971.132,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512FD9AA7DB137D69642D686F02038E39C9D96FD24EB2CF56BD2&s=24247294&se=1573793027&v=4&f=1971.132_o10.jpg
Mirror with 'Shan' (Mountain) Pattern,,,200s BC,1972.34 ,Bronze,https://www.clevelandart.org/art/1972.34,https://piction.clevelandart.org/cma/ump.di?e=04AD67C577E5E1099A5E11E2554DF7C6CD9ED6C87A99571DAA1790765ADB39DF&s=24247294&se=1380809992&v=1&f=%5Cd3335%5Cu2933353%5C1972.34_o10.jpg
Double-Handled Beaker,,,c. 2000–1500 BC,1971.228 ,Burnished earthenware,https://www.clevelandart.org/art/1971.228,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA83AE2A6658C078746881BE845844FFF37D651301002D32500&s=24247294&se=1215636534&v=1&f=%5Cd6609%5Cu2866099%5C1971.228_o10.jpg
The Peach Blossom Spring,Liu Du,"(Chinese, active c. 1628-after 1653)",1650,1971.227 ,"Hanging scroll, ink and light color on satin",https://www.clevelandart.org/art/1971.227,https://piction.clevelandart.org/cma/ump.di?e=6FE10EB72877704D18E6B0823E06C8AC2226C14D5E88E19358FE6E50EB7B9D51&s=24247294&se=1061808079&v=6&f=1971.227_o10.jpg
Scabbard Fitting,,,AD 317–581,1971.229 ,Jade,https://www.clevelandart.org/art/1971.229,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B3EE107C3162178D67B34A4AB5E1104A3BFF9680C6A1478A7&s=24247294&se=672506398&v=0&f=1971.229_o10.jpg
Clearing Autumn Mists in the Chu Mountains,Lan Ying,"(Chinese, 1585-aft 1664)",1600s,1971.231 ,"Hanging scroll, ink and light color on silk",https://www.clevelandart.org/art/1971.231,https://piction.clevelandart.org/cma/ump.di?e=6FE10EB72877704D0DEFB1240F8B3B6DDDD0679544A0B479729ADAF6C5222322&s=24247294&se=1061808079&v=2&f=1971.231_o10.jpg
Square Urn with Celestial Guardians,,,8th Century,1972.37 ,Marble,https://www.clevelandart.org/art/1972.37,https://piction.clevelandart.org/cma/ump.di?e=C81964B17FDD6DD0861D63F3EF1CF723C107DB7684807A5330A099BB2056597D&s=24247294&se=772068101&v=1&f=%5Cd5529%5Cu2855292%5C1972.37_o10.jpg
Jade Bird Pendant,,,c. 1000-mid 900s BC,1972.38 ,Nephrite,https://www.clevelandart.org/art/1972.38,https://piction.clevelandart.org/cma/ump.di?e=D5B2F386813BB15A5CAFAB7D47F917B50320ECDBC45F55901015C10855C36294&s=24247294&se=792573221&v=1&f=%5Cd0841%5Cu222508418%5C1972.38_o10.jpg
Bodhidharma Meditating Facing a Cliff,,,late 1200s,1972.41 ,Hanging scroll; ink on silk,https://www.clevelandart.org/art/1972.41,https://piction.clevelandart.org/cma/ump.di?e=F5DB0801F450918F98A9070A6FBE0CB3A5BA44482F693EE6C5319B7BFCF62B97&s=24247294&se=1573793027&v=6&f=1972.41_o10.jpg
Footed Platter with Design of Mythical Beasts amid Grapevines,,,700s,1972.39 ,"Silver with gilt, incised, and chased decoration",https://www.clevelandart.org/art/1972.39,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B6DD25998C2E1883B6FDA746AA51FA9A3310E614FE2C42934&s=24247294&se=1044455093&v=0&f=1972.39_o10.jpg
White Clouds and Red Trees,Li Jian,"(Chinese, active second half of the 1700s)",1788,1972.42 ,"Hanging scroll, ink and color on silk",https://www.clevelandart.org/art/1972.42,https://piction.clevelandart.org/cma/ump.di?e=6FE10EB72877704D3429E43D9F5D4073C80E2A8CCE472BA489D5C55A8CBE7AF8&s=24247294&se=1573793027&v=3&f=1972.42_o10.jpg
Cylindrical Container with Cover (Lian),,,100 BC-100 AD,1972.44 ,Gilt bronze with openwork and chased designs,https://www.clevelandart.org/art/1972.44,https://piction.clevelandart.org/cma/ump.di?e=5ACA79344031E138421B194BEEB8AA3F4CA67C68B950EC53D6017B79F5E6EBB9&s=24247294&se=1044455093&v=3&f=%5Cd5591%5Cu258255914%5C1972.44_o10.jpg
Mortuary Figures of the Zodiac Signs,,,500s,1972.76 ,Gray earthenware with traces of slip,https://www.clevelandart.org/art/1972.76,https://piction.clevelandart.org/cma/ump.di?e=CFE3216052A208FDDD2D50F0B13546B0ACACF6CF68994C26D64A4B37E68E13D7&s=24247294&se=772068101&v=0&f=1972.76_o10.jpg
Solitary Colors of the Autumn Woods,Wang Jianzhang,"(Chinese, active 1621–1662)",first half 1600s,1972.68 ,"Hanging scroll, ink and color on satin",https://www.clevelandart.org/art/1972.68,https://piction.clevelandart.org/cma/ump.di?e=12CA595842B6F82B0A6EE0C9ECCF0038F5367B15DEF80B8EBCAF2179739E3283&s=24247294&se=1044455093&v=0&f=1972.68_o10.jpg
Covered Box: Yue Ware,,,907–960,1972.95 ,Glazed stoneware with incised decoration,https://www.clevelandart.org/art/1972.95,https://piction.clevelandart.org/cma/ump.di?e=624CA5D9DAD849827551EE14ACEEAE40DD3878BAC35DD9A26DC926BB30747E7E&s=24247294&se=1044455093&v=0&f=1972.95_o10.jpg
Dagger-Axe Shaped Pendant,,,12th-10th Century BC,1972.155 ,Jade,https://www.clevelandart.org/art/1972.155,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AAA2196F1A045CECCAEC4653EEC1823B2490DD03B314FC6CA&s=24247294&se=1044455093&v=0&f=1972.155_o10.jpg
Ceremonial Scepter with Animal Masks (Gui),,,c. 1600–1050 BC,1972.154 ,Jade (nephrite),https://www.clevelandart.org/art/1972.154,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A96A3552633D036038778953A6DFDCD7A638A70C518DE8603&s=24247294&se=1044455093&v=0&f=1972.154_o10.jpg
Virupa,,,early 1400s,1972.96 ,Gilt bronze,https://www.clevelandart.org/art/1972.96,https://piction.clevelandart.org/cma/ump.di?e=0B0CC1D3CFE62C9E4595736ACC5E2A4173B007665D1811EAAA1F9597320C8391&s=24247294&se=429512564&v=0&f=1972.96_o10.jpg
Green Peaks under Clear Sky: After Huang Gongwang,Wang Yuanqi,"(Chinese, 1642–1715)",1703–8,1972.153 ,"Handscroll, ink and light color on paper",https://www.clevelandart.org/art/1972.153,https://piction.clevelandart.org/cma/ump.di?e=37404CA6287FB8CDBFAFA9F54599C5477220CE6CA7C4D7DC15670EB69CB1B9C6&s=24247294&se=1573793027&v=1&f=%5C1972.153_o10.jpg
Fish with Curved Snout,,,12th-10th Century BC,1972.156 ,Jade,https://www.clevelandart.org/art/1972.156,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AEA4B22F296FE70B35B508C0F7341B4FA367C78868B07874B&s=24247294&se=792573221&v=0&f=1972.156_o10.jpg
Waterfall,,,1271–1368,1972.157 ,"Hanging scroll, ink and slight color on silk",https://www.clevelandart.org/art/1972.157,https://piction.clevelandart.org/cma/ump.di?e=F5DB0801F450918F7B896C7BBDFC246681E2A8A4F0C8B8502FE3A5637CEF1FCF&s=24247294&se=1573793027&v=6&f=1972.157_o10.jpg
Buddhist Triumphant over Temptation,,,c. 1300–1320,1972.161 ,Gilt bronze,https://www.clevelandart.org/art/1972.161,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D45909603ED5A2016AB69A6EE1C8743AFE58D090C36623F0D8256E2&s=24247294&se=1044455093&v=1&f=%5Cd5179%5Cu2851790%5C1972.161_o10.jpg
Standing Disciple Mahakasyapa Holding a Cylindrical Reliquary,,,c. 550,1972.166 ,Limestone with traces of pigment,https://www.clevelandart.org/art/1972.166,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA85A80805F980DB3858F7BD76342C191CDCD2AAD6CE343BC0C&s=24247294&se=1044455093&v=0&f=1972.166_o10.jpg
Ceremonial Knife,,,1700s,1972.252 ,"Green jade, partly clarified",https://www.clevelandart.org/art/1972.252,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B2187F5548F20E2A4679D5F4A4977F2FEFCA8167C0402F31F&s=24247294&se=1044455093&v=0&f=1972.252_o10.jpg
Pitcher (Gong) with Dragon and Bird-Headed Handle,,,1700s,1972.251 ,Pale greenish-white jade with brown markings,https://www.clevelandart.org/art/1972.251,https://piction.clevelandart.org/cma/ump.di?e=8AE4B98260170BF70FB106B19EF75ED06CC052CCDB47CBA496A099F42774D2E6&s=24247294&se=1044455093&v=1&f=%5Cd7486%5Cu219774860%5C1972.251_o10.jpg
White-Robed Guanyin,Zhang Yuehu,"(Chinese, active 1200s)",late 1200s,1972.160 ,Hanging scroll; ink on paper,https://www.clevelandart.org/art/1972.160,https://piction.clevelandart.org/cma/ump.di?e=12CA595842B6F82B02AB9A704AA31AA2E842E67FD3418220B40FBFC58CA4862F&s=24247294&se=1573793027&v=0&f=1972.160_o10.jpg
Disc (bi) with Imperial Poem in Seal Script (zhuanshu) by the Qianlong Emperor,,,1736–95,1972.254 ,"White jade with brown mottling, historic jade, recut and incised",https://www.clevelandart.org/art/1972.254,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380ACDD16980912E31E3719CA82E19A3F7E80380B0D6D808F128&s=24247294&se=860783020&v=0&f=1972.254_o10.jpg
Bottle with Stopper,,,1736–95,1972.253 ,Jade,https://www.clevelandart.org/art/1972.253,https://piction.clevelandart.org/cma/ump.di?e=19F7D128D879D9262827B5E60F53AB1867650B85419EA955B6AEC00EE952AEF0&s=24247294&se=527081248&v=0&f=1972.253_o10.jpg
Lotus-shaped Dish and Cup,,,1736–95,1972.255 ,Jade,https://www.clevelandart.org/art/1972.255,https://piction.clevelandart.org/cma/ump.di?e=0EA08826AFAB664EA1874C54C02E14EE5C47FC2B36F3CA232045FF0B29175119&s=24247294&se=860783020&v=0&f=1972.255_o10.jpg
Dish,,,1368– 1644,1972.257 ,Jade,https://www.clevelandart.org/art/1972.257,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B2AD32B76EF005B98D77F599F6E231D4A4DEA91C7BEDFE2B4&s=24247294&se=1044455093&v=0&f=1972.257_o10.jpg
Circular Box: Qingbai Ware,,,1200s-1300s,1972.256 ,Glazed porcelain,https://www.clevelandart.org/art/1972.256,https://piction.clevelandart.org/cma/ump.di?e=0EA08826AFAB664E7B4EF3928398C888D4643313F74D2A56D2C5C208C4170163&s=24247294&se=1575394594&v=2&f=%5Cd4931%5Cu19049311%5C1972.256_o10.jpg
Gourd-Shaped Vase,,,late 1700s,1972.258 ,Yellowish-green jade with brown markings,https://www.clevelandart.org/art/1972.258,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AC0F69CCADA5C5C3BF73480CFDE0B4BFB2C618059EFA7F8D0&s=24247294&se=1044455093&v=0&f=1972.258_o10.jpg
